Depart,Arrivee,Hdep,Harr,Prix
Paris,Lyon,07:00,13:00,25.00
Lyon,Paris,08:30,14:45,22.50
Paris,Bordeaux,06:15,12:30,27.80
Lyon,Toulouse,11:00,18:30,20.90
Bordeaux,Paris,13:45,20:10,29.20
Toulouse,Lyon,15:30,22:45,24.80
Paris,Toulouse,09:30,17:15,30.90
Lyon,Bordeaux,14:00,21:30,19.50
Toulouse,Paris,16:45,00:30,33.40
Bordeaux,Lyon,09:30,16:00,21.20
Paris,Lyon,12:15,19:10,26.90
Lyon,Paris,16:30,23:30,28.50
Paris,Bordeaux,14:00,21:45,29.70
Lyon,Toulouse,17:45,01:00,22.35
Bordeaux,Paris,19:30,03:15,28.10
Toulouse,Lyon,21:00,04:45,25.90
Rennes,Paris,08:30,15:00,18.50
Paris,Rennes,10:45,17:30,20.20
Lille,Paris,09:15,15:45,15.90
Paris,Lille,12:30,19:00,18.50
Rennes,Lyon,13:00,22:15,30.00
Lyon,Rennes,16:15,01:30,32.20
Lille,Bordeaux,14:45,06:00,40.40
Bordeaux,Lille,20:00,09:15,45.70
