Depart,Arrivee,Hdep,Harr,Prix
Paris,Lyon,06:15,09:30,70.00
Lyon,Paris,07:20,10:30,65.50
Paris,Bordeaux,05:45,09:15,60.80
Lyon,Toulouse,10:00,13:40,55.90
Bordeaux,Paris,11:30,15:10,72.30
Toulouse,Lyon,13:15,17:00,67.50
Paris,Toulouse,08:00,12:45,75.20
Lyon,Bordeaux,12:50,16:30,59.90
Toulouse,Paris,14:30,19:15,78.40
Bordeaux,Lyon,09:10,13:50,62.00
Paris,Lyon,11:00,14:30,68.90
Lyon,Paris,15:00,18:20,70.25
Paris,Bordeaux,12:20,16:00,73.70
Lyon,Toulouse,16:30,20:10,57.50
Bordeaux,Paris,17:15,21:00,69.30
Toulouse,Lyon,18:45,22:30,65.80
Rennes,Paris,07:10,10:45,45.60
Paris,Rennes,09:00,12:30,50.30
Lille,Paris,08:30,10:45,42.90
Paris,Lille,11:00,13:20,47.50
Rennes,Lyon,11:45,16:15,68.00
Lyon,Rennes,14:30,19:00,70.20
Lille,Bordeaux,13:00,18:15,85.40
Bordeaux,Lille,19:00,00:15,90.70
